Person,Family,Industry,Role,Relationship,Person 2
Jan Nisar Akhtar,Akhtar-Azmi-Kher,Hindi,Poet and Lyricist,,
Javed Akhtar,Akhtar-Azmi-Kher,Hindi,"Playwright, Poet and Lyricist",Son,Jan Nisar Akhtar
Honey Irani,Akhtar-Azmi-Kher,Hindi,Actor and Screen Writer,Ex-Wife,Javed Akhtar
Daisy Irani,Akhtar-Azmi-Kher,Hindi,Actor,Sister,Honey Irani
Farhan Akhtar,Akhtar-Azmi-Kher,Hindi,Actor and Director,Son,Javed Akhtar
Farhan Akhtar,Akhtar-Azmi-Kher,Hindi,Actor and Director,Son,Honey Irani
Adhuna Akhtar,Akhtar-Azmi-Kher,Hindi,Hairstylist and TV Host,Ex-Wife,Farhan Akhtar
Zoya Akhtar,Akhtar-Azmi-Kher,Hindi,Director,Sister,Javed Akhtar
Zoya Akhtar,Akhtar-Azmi-Kher,Hindi,Director,Sister,Honey Irani
Farah Khan,Akhtar-Azmi-Kher,Hindi,Choreographer and Director,Niece,Honey Irani
Shirish Kunder,Akhtar-Azmi-Kher,Hindi,Editor,Husband,Farah Khan
Sajid Khan,Akhtar-Azmi-Kher,Hindi,Actor and Director,Brother,Farah Khan
Kaifi Azmi,Akhtar-Azmi-Kher,Hindi,Poet and Lyricist,,
Shaukat Kaifi,Akhtar-Azmi-Kher,Hindi,Actor,Wife,Kaifi Azmi
Baba Azmi,Akhtar-Azmi-Kher,Hindi,Cinematographer,Son,Kaifi Azmi
Shabana Azmi,Akhtar-Azmi-Kher,Hindi,Actor,Daughter,Kaifi Azmi
Shabana Azmi,Akhtar-Azmi-Kher,Hindi,Actor,Daughter,Shaukat Kaifi
Tanvi Azmi,Akhtar-Azmi-Kher,Hindi,Actor,Wife,Baba Azmi
Usha Kiran,Akhtar-Azmi-Kher,Hindi,Actor,,
Uttara Mhatre Kher,Akhtar-Azmi-Kher,Hindi,Model,Daughter-in-law,Usha Kiran
Saiyami Kher,Akhtar-Azmi-Kher,Hindi,Actor,Daughter,Uttara Mhatre Kher
Kabir Akhtar,Akhtar-Azmi-Kher,Hindi,Director,Nephew,Javed Akhtar
Farah,Akhtar-Azmi-Kher,Hindi,Actor,Niece,Shabana Azmi
Tabu,Akhtar-Azmi-Kher,Hindi,Actor,Niece,Shabana Azmi
Mumtaz Ali,Ali-Amrohi,Hindi,Actor,,
Mehmood,Ali-Amrohi,Hindi,Actor,Son,Mumtaz Ali
Tracy Ali,Ali-Amrohi,Hindi,Actor,Wife,Mehmood
Minoo Mumtaz,Ali-Amrohi,Hindi,Actor,Daughter,Mumtaz
Anwar Ali,Ali-Amrohi,Hindi,Actor,Brother,Mehmood
Lucky Ali,Ali-Amrohi,Hindi,Singer,Son,Mehmood
Pucky Ali,Ali-Amrohi,Hindi,Actor,Son,Mehmood
Macky Ali,Ali-Amrohi,Hindi,Actor,Son,Mehmood
Masoom Ali,Ali-Amrohi,Hindi,Actor and Producer,Son,Mehmood
Mansoor Ali,Ali-Amrohi,Hindi,Actor,Son,Mehmood
Manzoor Ali,Ali-Amrohi,Hindi,Actor,Son,Mehmood
Ginny Ali,Ali-Amrohi,Hindi,Actor,Daughter,Mehmood
Khursheed Bano,Ali-Amrohi,Hindi,Actor,Sister,Meena Kumari
Meena Kumari,Ali-Amrohi,Hindi,Actor,Ex-Sister-in-law,Mehmood
Kamal Amrohi,Ali-Amrohi,Hindi,Director,Husband,Meena Kumari
Tajdar Amrohi,Ali-Amrohi,Hindi,Director,Son,Kamal Amrohi
