,Column,name,id,item,price,rating,reviews,category,category
23,23,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Samosa Chaat,6.95,4.5,427,$$,Mid-range
31,31,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Mulligatawny Soup,5.95,4.5,427,$$,Mid-range
38,38,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Chicken Saag,15.95,4.5,427,$$,Mid-range
39,39,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Chicken Tikka Masala,15.95,4.5,427,$$,Mid-range
40,40,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Chicken Vindaloo,15.95,4.5,427,$$,Mid-range
51,51,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Lamb Curry,17.95,4.5,427,$$,Mid-range
52,52,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Goat Curry,17.95,4.5,427,$$,Mid-range
53,53,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Lamb Vindaloo,17.95,4.5,427,$$,Mid-range
66,66,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Tandoori Chicken,15.95,4.5,427,$$,Mid-range
76,76,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Malai Kofta,13.95,4.5,427,$$,Mid-range
79,79,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Aloo Gobi,13.95,4.5,427,$$,Mid-range
81,81,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Palak Paneer,14.95,4.5,427,$$,Mid-range
87,87,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Dal Makhani,13.95,4.5,427,$$,Mid-range
90,90,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Paneer Makhani,13.95,4.5,427,$$,Mid-range
93,93,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Chili Paneer,15.95,4.5,427,$$,Mid-range
94,94,Mughlai Grill,_7BGw3YFNOTzP1Www3zB7g,Chili Chicken,15.95,4.5,427,$$,Mid-range
